V1 ID,Article ID,V1 Status,V1 Round,V1 RA-ID,V1 Date Coded,Main Point,Climate Attribution Topic,Negative Impacts/Risks,Human Responses,Environmental Justice Topic,Notes
1,Ches/HABs-JJ-110,2,1,DM,2021-07-28,Interview explaining what a dead zone is and ongoing research in the Gulf of Mexico,0,0,0,0,"This one says it's from NY times (news) and proquest (not news). It's also a transcript from an interview, which I'm not sure if that counts as news. I didn't do source training so I don't really know how to handle this. ALSO, this article isn't about Chesapeake. It only mentions Chesapeake once, and it's just the person being interviewed saying that they first got involved in dead zone research from a professor who was from Chesapeake"
2,Ches/HABs-JJ-151,2,1,DM,2021-07-28,Heavier rains distrupt scientist work in the bay but also curb harmful algae blooms,0,0,0,0,Ad blocking article
3,Ches/HABs-JJ-200,2,1,DM,2021-07-28,"New scientist is taking over the Maryland Center for Environmental Science, summarizing his work.",0,0,0,0,
4,Ches/HABs-JJ-201,2,1,DM,2021-07-28,Professor says eating less meat can reduce nitrogen pollution,0,2,0,0,very short article
5,Ches/HABs-JJ-202,2,1,DM,2021-07-28,Drones are being used to photograph and analyze toxic algae in the Chesapeake Bay.,0,0,0,0,Ads blocking article
6,Ches/HABs-JJ-203,2,1,DM,2021-07-28,"Seagrass restoration has improved health of the bay, filtering out harmful nitrogen that would lead to blooms.",0,1,0,0,
7,Ches/HABs-JJ-204,2,1,DM,2021-07-28,Forest buffers are not being planted at promised rates and should be to protect the health of the bay.,0,0,0,0,
8,Ches/HABs-JJ-231,2,1,DM,2021-08-05,"Pfiesteria, a deadly alga that causes mass fish death, is being identified in the bay.",0,0,0,0,Talks about North Carolina negative impacts a lot but were not included here as they are not located in thebay
9,Ches/HABs-JJ-232,2,1,DM,2021-08-05,"Deadly phytoplankton have dominated the news, but researchers have found, unlike other places, no negative impacts in the Bay as of yet.",0,0,0,0,
10,Ches/HABs-JJ-233,2,1,DM,2021-08-05,"Article about Donald Boesch's work, the recently retired president of the University of Maryland Center for Environmental Science",1,1,0,0,
