V1 ID,Article ID,V1 Status,V1 Round,V1 RA-ID,V1 Date Coded,Publication Year,Main Point,Climate Attribution Topic,Negative Impacts/Risks,Human Responses,Environmental Justice Topic,Notes,,,,,,,,,,,,
1,Ches/HABs-JJ-110,2,1,DM,2021-07-28,2012,Interview explaining what a dead zone is and ongoing research in the Gulf of Mexico,0,0,0,0,"This one says it's from NY times (news) and proquest (not news). It's also a transcript from an interview, which I'm not sure if that counts as news. I didn't do source training so I don't really know how to handle this. ALSO, this article isn't about Chesapeake. It only mentions Chesapeake once, and it's just the person being interviewed saying that they first got involved in dead zone research from a professor who was from Chesapeake",,,,,,,,,,,,
2,Ches/HABs-JJ-151,2,1,DM,2021-07-28,2018,Heavier rains distrupt scientist work in the bay but also curb harmful algae blooms,0,0,0,0,Ad blocking article,,,,,,,,,,,,
3,Ches/HABs-JJ-200,2,1,DM,2021-07-28,2017,"New scientist is taking over the Maryland Center for Environmental Science, summarizing his work.",0,0,0,0,,,,,,,,,,,,,
4,Ches/HABs-JJ-201,2,1,DM,2021-07-28,2016,Professor says eating less meat can reduce nitrogen pollution,0,2,0,0,very short article,,,,,,,,,,,,
5,Ches/HABs-JJ-202,2,1,DM,2021-07-28,2017,Drones are being used to photograph and analyze toxic algae in the Chesapeake Bay.,0,0,0,0,Ads blocking article,,,,,,,,,,,,
6,Ches/HABs-JJ-203,2,1,DM,2021-07-28,2019,"Seagrass restoration has improved health of the bay, filtering out harmful nitrogen that would lead to blooms.",0,1,0,0,,,,,,,,,,,,,
7,Ches/HABs-JJ-204,2,1,DM,2021-07-28,2019,Forest buffers are not being planted at promised rates and should be to protect the health of the bay.,0,0,0,0,,,,,,,,,,,,,
8,Ches/HABs-JJ-231,2,1,DM,2021-08-05,1997,"Pfiesteria, a deadly alga that causes mass fish death, is being identified in the bay.",0,0,0,0,Talks about North Carolina negative impacts a lot but were not included here as they are not located in thebay,,,,,,,,,,,,
9,Ches/HABs-JJ-232,2,1,DM,2021-08-05,1997,"Deadly phytoplankton have dominated the news, but researchers have found, unlike other places, no negative impacts in the Bay as of yet.",0,0,0,0,,,,,,,,,,,,,
10,Ches/HABs-JJ-233,2,1,DM,2021-08-05,2017,"Article about Donald Boesch's work, the recently retired president of the University of Maryland Center for Environmental Science",1,1,0,0,,,,,,,,,,,,,
11,Ches/HABs-JJ-234,2,1,DM,2021-08-05,2016,"Eating less meat can reduce animal waste going into the bay, according to a UVA professor.",5,0,0,0,repeat of jj201 plus this one has ads covering,,,,,,,,,,,,
12,Ches/HABs-JJ-235,2,1,DM,2021-08-05,2019,Drones are being deployed to better study environmental concerns by riverkeepers.,0,1,0,0,,,,,,,,,,,,,
13,Ches/HABs-JJ-236,2,1,DM,2021-08-05,2019,Location of toxic algae areas found by documenters.,0,2,0,0,,,,,,,,,,,,,
14,Ches/HABs-JJ-238,2,1,DM,2021-08-05,2019,"Blue-green algae, which has killed dogs elsewhere in the country, has been found in the Bay Watershed",1,1,0,0,,,,,,,,,,,,,
15,Ches/HABs-JJ-239,2,1,DM,2021-08-05,2019,Meat consumption is leading to more nutrient pollution and warmer weather leading to more algae blooms.,3,3,0,0,Did not include any human responses because they were theoretical advice,,,,,,,,,,,,
16,Ches/HABs-JJ-240,2,1,DM,2021-08-05,2012,Scientists from the University System of Maryland and policy makers are meeting to discuss Bay-related issues.,0,4,0,0,"This seems to be a news release and not a full article, should be flag articles less than a page?",,,,,,,,,,,,
17,Ches/HABs-JJ-241,2,1,DM,2021-08-05,2020,"An ongoing algae bloom is believed to have caused a fish kill in Hampton's
Indian Creek.",0,3,0,0,,,,,,,,,,,,,
18,Ches/HABs-JJ-242,2,1,DM,2021-08-05,2016,"The creekwatchers, a group in Maryland, are monitoring water quality in Wicomico country and seeing an increase in Algae blooms",0,3,0,0,,,,,,,,,,,,,
19,Ches/HABs-JJ-250,2,1,DM,2021-08-05,2010,Climate Change is affecting Virginia and the state government must act. ,4,4,0,0,,,,,,,,,,,,,
20,Ches/HABs-JJ-274,2,1,DM,2021-08-05,2013,A ten year study from VIMS shows that fish that live near the bottom of the bay are negatively impacted by algae blooms.,0,3,0,0,Wrong pdf... pdf is actually JJ (273),,,,,,,,,,,,
21,Ches/HABs-JJ-292,2,1,DM,2021-08-05,2020,"High rainfall degrades Chesapeake bay health, but less than predicted.",0,1,0,0,,,,,,,,,,,,,
22,Ches/HABs-ST-7,2,1,DM,2021-09-29,2019,Summarizing successes of CBP over past 35 years involving algae blooms.,0,2,0,0,,,,,,,,,,,,,
23,Ches/HABs-ST-117,2,1,DM,2021-09-29,2019,Pet owners in Maryland and Virginia are warned not to allow pets to drink from ponds with algae blooms as it is very harmful.,2,5,0,0,Title and author do not match ST (117) PDF,,,,,,,,,,,,
24,Ches/HABs-ST-132,2,1,DM,2021-08-19,2011,"Federal caps on water pollution imposed by the EPA, in addition to nutrient cap trading, seems promising in helping improve the health of the Bay.",0,1,0,0,,,,,,,,,,,,,
25,Ches/HABs-ST-133,2,1,DM,2021-08-19,2014,"States are improving due to more state regulation, but illegal pollution makes it likely more stringent guidelines are necessary.",0,0,0,0,,,,,,,,,,,,,
26,Ches/HABs-ST-134,2,1,DM,2021-08-19,2009,Maryland state budget cuts have put some bay restoration projects on hold.,0,2,0,0,,,,,,,,,,,,,
27,Ches/HABs-ST-135,2,1,DM,2021-08-19,2010,In order to reduce HABS in California efforts should reduce nutrient pollution. ,0,1,0,0,,,,,,,,,,,,,
